Quantas eras de evolução da gestão do PDP existem, e quais são?	Três: (1) Desenvolvimento Sequencial de Produtos, (2) Desenvolvimento Integrado de Produtos, (3) Novas abordagens para o Desenvolvimento Integrado.	eras
Quais são as 2 abordagens da era do Desenvolvimento Sequencial?	Tradicional (ou Sequencial) e Metodologia de Projeto.	eras
Quais são as 3 abordagens da era do Desenvolvimento Integrado?	Engenharia Simultânea, Stage-Gates e Modelo de Funil.	eras
Quais são as 4 abordagens da era das Novas Abordagens?	Lean, Design for Six Sigma (DFSS), Modelos de Maturidade e Gerenciamento do Ciclo de Vida dos Produtos (PLM).	eras
Qual é a melhor abordagem de gestão do PDP?	Nenhuma. Não existe uma única melhor abordagem para todas as empresas — depende do contexto.	conceito
De que depende a escolha da abordagem mais adequada?	Do ambiente competitivo, das capacitações existentes, do desempenho do PDP, da complexidade do produto e do status estático/dinâmico das inovações no setor.	conceito
O que originou o Desenvolvimento de Produtos Sequencial?	Os princípios da administração científica (divisão de tarefas, a maneira ótima, as pessoas certas) e a estruturação funcional das organizações, após a produção em massa de Ford.	sequencial
Por que a abordagem tradicional se chama "sequencial"?	Porque a informação sobre o produto era definida numa ordem lógica de uma área funcional para outra — Marketing, depois Design, Engenharia, Produção — sem interação forte entre elas.	sequencial
No Desenvolvimento Sequencial, quando os fornecedores eram envolvidos?	Somente nas fases finais do desenvolvimento; a empresa procurava ser excessivamente autossuficiente.	sequencial
Como era a carreira do profissional no Desenvolvimento Sequencial?	Especializado, com promoção essencialmente vertical e sem mobilidade horizontal — valorizava o aprofundamento e o isolamento do conhecimento.	sequencial
Qual era a premissa implícita do Desenvolvimento Sequencial?	Que a excelência no desenvolvimento de produto dependia única e exclusivamente da excelência dentro de cada área de especialização.	sequencial
No Desenvolvimento Sequencial, qual era o problema do gerente de projeto?	Ele surgiu para cuidar do projeto como um todo, mas seu poder e influência eram limitados e bem menores que os do gerente funcional, que tomava a decisão final.	sequencial
O que foi a abordagem das Metodologias de Projeto?	A busca de excelência funcional — encontrar a sequência de etapas e atividades mais racional para desenvolver um produto. Ainda com gerenciamento funcional, sem visão de processo integrado.	sequencial
Qual a diferença entre Tradicional e Metodologia de Projeto?	Ambas são sequenciais e funcionais. A Metodologia de Projeto acrescenta a sistematização das atividades por métodos, mas ainda não integra as áreas nem tem visão de processo.	sequencial
Quando surgiu o movimento da Engenharia Simultânea, e por quê?	No final dos anos 1980, pela maior diversidade de produtos, valorização de prazos, pressão de custos, regulamentação socioambiental, aceleração da inovação e clientes mais exigentes.	integrado
Qual foi a inovação organizacional mais significativa da Engenharia Simultânea?	Os times multifuncionais de projeto encabeçados por um gerente de projeto peso pesado — a descoberta da Estrutura Matricial Forte.	integrado
Quais técnicas foram sistematizadas pelo movimento da Engenharia Simultânea?	QFD (Desdobramento da Função Qualidade), matriz de seleção de Pugh, FMEA (Análise dos Modos de Falha e seus Efeitos) e Análise de Valor.	integrado
Qual o foco principal da abordagem Stage-Gates?	O foco no processo de negócio, com ênfase na avaliação da transição de fases — procedimentos sistemáticos para aprovar a passagem de uma fase à seguinte.	integrado
Quem propôs o Modelo de Funil e o que ele integra?	Clark e Wheelwright. Integra o planejamento estratégico de mercado e de negócio com as atividades de desenvolvimento de produto.	integrado
Como funciona o Modelo de Funil?	O PDP começa pelo planejamento de um conjunto de projetos (o portfólio) e, por um processo de negócio disciplinado com fases e avaliações, só os produtos com maior probabilidade de sucesso chegam ao mercado.	integrado
Qual a contribuição do Modelo de Funil em relação ao Stage-Gates?	O Funil acrescenta a importância da gestão de portfólio e o relacionamento entre a transição de fases e essa gestão, além do alinhamento com a estratégia.	integrado
Cite 4 características da era do Desenvolvimento Integrado de Produtos.	Desenvolvimento visto como processo; P&D inserido na estratégia da empresa; uso de projetos plataforma e modularizados; simultaneidade e superposição de atividades. (Também: times multifuncionais, fornecedores desde o início, revisão constante, profissionais generalistas.)	integrado
No Desenvolvimento Integrado, como é o perfil do profissional?	Mais generalista, com promoção vertical e horizontal e muita mobilidade interna. A visão ampla é tão importante quanto a competência técnica.	integrado
Por que a participação das áreas no início do projeto é fundamental?	Porque gera consenso sobre os parâmetros básicos do projeto, evitando divergências posteriores e permitindo que ele transcorra de forma mais fluida.	integrado
Quais as vantagens obtidas com o Desenvolvimento Integrado?	Salto na produtividade, na qualidade dos produtos e na rapidez de resposta (menor lead time); maior variedade de produtos e maior taxa de renovação do que a concorrência.	integrado
Quais são as duas contribuições principais do Desenvolvimento Lean?	(1) Visão mais orgânica: máxima simplificação, menos formalização, foco em prototipagem, testes e aprendizagem. (2) Retardar ao máximo as decisões de detalhe, como tolerâncias.	novas
No Lean, qual é o papel do gerente de projeto?	Além de coordenador e motivador, ele é um tutor — orienta o processo de aprendizagem dos engenheiros e técnicos sob sua supervisão, em busca de inovação constante.	novas
Por que o Lean prega diminuir a formalização do processo?	Porque as atividades de formalização não agregam valor — conceito trazido da manufatura enxuta.	novas
Qual o foco do Design for Six Sigma (DFSS)?	A integração entre necessidades dos clientes, requisitos de produto, especificações e tolerâncias por meio de otimização com ferramentas estatísticas e de simulação.	novas
O que a abordagem de Modelos de Maturidade propõe?	O conceito de níveis de maturidade e o uso de indicadores para avaliar o grau de evolução do processo de desenvolvimento, garantindo implantação e melhoria contínua.	novas
O que é o Gerenciamento do Ciclo de Vida dos Produtos (PLM)?	A integração de todas as etapas do ciclo de vida do produto, incluindo a produção e a integração entre projetos, com uso de recursos de TI.	novas
Cite as características comuns às novas abordagens do PDP.	Simplificar a formalização; ênfase na aprendizagem e em soluções inovadoras (mais tempo avaliando soluções, uso de estatística e modelos computacionais, gestão do conhecimento); níveis de maturidade; gerenciamento do ciclo de vida.	novas
Quais são as 4 formas de arranjo organizacional do PDP?	Funcional, Matricial peso leve, Matricial peso pesado e Por projeto (autônoma).	arranjos
O que é uma "função" no contexto organizacional?	Uma área de responsabilidade que envolve alto grau de especialização de conhecimento, em formação e experiência. As clássicas no PDP são Marketing, Engenharia e Manufatura.	arranjos
Na estrutura funcional, como é a ligação organizacional?	Forte pela função — hierarquia, espaço físico próprio, orçamento próprio e um gerente originário da própria unidade.	arranjos
Na estrutura por projeto, a quem o indivíduo reporta?	Ao gerente do projeto, e não ao responsável pela área funcional de origem. Normalmente compartilha espaço físico do projeto.	arranjos
O que é um Tiger Team?	Um time com recursos dedicados exclusivamente a um projeto específico de vital importância para a empresa — exemplo típico de organização por projeto.	arranjos
Qual a diferença entre gerente peso pesado e peso leve?	O peso pesado tem completa autonomia sobre orçamento e avaliação de desempenho do time e decide a alocação de recursos. O peso leve é apenas coordenador/administrador, sem autoridade sobre pessoas nem orçamento.	arranjos
Na estrutura matricial, quantos superiores o indivíduo tem?	Dois: um da organização funcional e outro referente ao projeto.	arranjos
Qual a questão principal da organização funcional?	Como garantir a integração entre as diferentes funções para atingir os objetivos do projeto.	arranjos
Qual a questão principal da organização por projeto?	Como compartilhar o aprendizado de um projeto para outro, já que os times ficam isolados e mudam a cada projeto.	arranjos
Que arranjo usar para um projeto de atualização ou ajuste de produto?	Uma organização funcional pode ser suficiente.	arranjos
Que arranjo usar para projetos com alto grau de inovação ou forte natureza de P&D?	A organização por projeto pura pode ser a mais adequada.	arranjos
O que a Toyota fez de diferente na organização do seu PDP?	Manteve a força de coordenação e integração cross-funcional da organização peso pesado e aumentou a capacidade de coordenar vários projetos simultaneamente, por meio de equipes de coordenadores de projetos.	arranjos
Qual a diferença entre gestão estratégica e gestão operacional do PDP?	A estratégica segue a orientação estratégica da empresa e direciona as decisões operacionais. A operacional cuida do planejamento e controle das atividades rotineiras — requisitos, especificações, avaliações, protótipos, custos e prazos.	conceito
O que caracteriza uma empresa com excelência em desenvolvimento de produtos?	Possui um modelo para o PDP com forte consistência entre seus elementos e tem a gestão estratégica e a operacional devidamente articuladas.	conceito
[Q1] Apresente um exemplo de produto classificado como bem de capital e justifique.	Um torno CNC (ou prensa, trator, tomógrafo). Justificativa: é um bem adquirido por uma organização para PRODUZIR outros bens ou serviços — não é consumido pelo usuário final. Tem vida útil longa, alto valor unitário, e a compra é uma decisão de investimento avaliada por retorno, não por consumo.	s1-produtos
[Q2] Classifique um tipo de produto para a área da saúde e justifique.	Depende do uso: um tomógrafo é bem de capital (o hospital investe nele para prestar serviço, vida longa, decisão de investimento); uma seringa ou luva é bem de consumo não durável (descartável, baixo valor unitário, consumo recorrente); um marca-passo é bem durável de uso final. A justificativa deve sempre apontar quem usa, para quê e por quanto tempo.	s1-produtos
[Q3] Apresente um exemplo de servitização e sua proposta de valor.	Rolls-Royce "power by the hour": em vez de vender a turbina, vende horas de voo com disponibilidade garantida (Michelin vendendo km rodado é outro exemplo). Proposta de valor: o cliente não imobiliza capital, paga pelo uso/resultado, e o risco de manutenção e desempenho migra para o fabricante — que passa a ter receita recorrente e interesse em durabilidade.	s1-produtos
